horizon,strategy,label,family,n_paths,usable_blocks,median_sharpe,q1_sharpe,q3_sharpe,iqr_spread,frac_paths_positive,median_path_return,total_trades,insufficient,reason
short,buy_and_hold,buy_and_hold,baseline,28,8,-1.455508986618464,-2.0232133691733534,0.1307572116114881,2.1539705807848413,0.2857142857142857,-0.22941990259111267,16,False,
short,ma_crossover,ma_crossover_12_48,trend,21,7,-2.384863013543206,-4.221202909321329,-0.8948310440056059,3.3263718653157235,0.09523809523809523,-0.23471738335897074,204,False,
short,macd,macd_6_13_5,trend,21,7,-3.0830512202691067,-4.204296642228211,-1.9814958793858848,2.2228007628423265,0.0,-0.3343304329220329,1156,False,
short,ts_momentum,ts_momentum_24,momentum,21,7,-2.5644161980049804,-4.0396995492268015,-2.02205511819407,2.0176444310327315,0.0,-0.24194381796978937,716,False,
short,sma_regime,sma_regime_168,regime-filter,21,7,-2.2816780017762817,-2.5075446407640563,-1.229642099159058,1.2779025416049983,0.047619047619047616,-0.19897464306570278,292,False,
short,breakout,breakout_12_6,breakout,21,7,-1.9053920458208842,-3.355824191501418,-0.5468616463183403,2.8089625451830775,0.14285714285714285,-0.16877266339375152,350,False,
short,bb_breakout,bb_breakout_20_2,breakout,21,7,-1.4874651926583589,-2.984803442957805,0.12891762132210033,3.1137210642799054,0.2857142857142857,-0.11508028096081979,270,False,
short,keltner,keltner_12_7_2,breakout,21,7,-0.9613454889290572,-1.7989661573518279,0.6781164179402095,2.4770825752920373,0.2857142857142857,-0.04875496394183376,88,False,
short,rsi,rsi_7_30_55,oscillator-reversion,21,7,-1.7225129793226104,-2.1104681227780917,-1.058819189900933,1.0516489328771588,0.14285714285714285,-0.19799660409650632,328,False,
short,stochastic,stoch_14_3,oscillator-reversion,21,7,-0.34132946506111556,-1.541970880349515,0.575144790040939,2.117115670390454,0.38095238095238093,-0.05176315822374267,240,False,
short,bb_reversion,bb_reversion_20_2,mean-reversion,21,7,-1.3156091611630525,-1.8609826156653801,-0.4645396215985841,1.396442994066796,0.14285714285714285,-0.15392327999379074,308,False,
short,zscore,zscore_20_-2,mean-reversion,21,7,-1.151777891329087,-1.9805834558851725,-0.7677901921791456,1.2127932637060268,0.19047619047619047,-0.12519214811337653,294,False,
short,vwap_reversion,vwap_reversion_20_0.01,mean-reversion,21,7,-2.1888621084661355,-2.5385386674281505,-1.7025996118381876,0.8359390555899628,0.0,-0.24299923750046482,398,False,
short,grid,grid_48_4_0.03,mean-reversion,21,7,-2.0218645600078777,-2.285046743169952,-1.553921113428797,0.7311256297411552,0.0,-0.12432991057769471,4304,False,
short,obv_trend,obv_trend_24,volume-flow,21,7,-1.580413809559001,-2.454795929959147,-0.7864169041853036,1.6683790257738433,0.23809523809523808,-0.17957247216707395,852,False,
short,voltarget,voltarget_168_24_0.8,risk-overlay,21,7,-2.2816780017762817,-2.5075446407640563,-1.229642099159058,1.2779025416049983,0.047619047619047616,-0.19897464306570278,292,False,
medium,buy_and_hold,buy_and_hold,baseline,28,8,0.53383105432224,-0.09497628957104505,1.3388722995466442,1.4338485891176893,0.6785714285714286,0.09389190960717592,16,False,
medium,ma_crossover,ma_crossover_20_50,trend,21,7,-0.3338083591464246,-0.8060242428728898,1.380390212793307,2.186414455666197,0.38095238095238093,-0.31701961464419204,38,False,
medium,macd,macd_12_26_9,trend,21,7,0.32063561817327296,-0.2558586121179884,1.0208734296149156,1.276732041732904,0.6666666666666666,0.03787374178117764,118,False,
medium,ts_momentum,ts_momentum_60,momentum,21,7,0.024999413506447778,-0.4634220743523097,1.2887610289967053,1.752183103349015,0.5238095238095238,-0.19435681551493011,142,False,
medium,sma_regime,sma_regime_100,regime-filter,21,7,-0.06562638110519782,-0.6284414003069787,0.8938477293503029,1.5222891296572816,0.47619047619047616,-0.16353366660861568,96,False,
medium,breakout,breakout_20_10,breakout,21,7,0.07815893865840046,-0.37237012412348314,1.5386741286711223,1.9110442527946054,0.5238095238095238,-0.06376972518584112,52,False,
medium,bb_breakout,bb_breakout_20_2,breakout,21,7,0.4812586198405186,-0.06788882901486873,1.6257205003939106,1.6936093294087793,0.6666666666666666,0.1589219592080673,58,False,
medium,keltner,keltner_20_14_2,breakout,21,7,0.21341015660241713,0.008155033987530461,1.6642117189410512,1.6560566849535208,0.7619047619047619,0.02178617073942557,38,False,
medium,rsi,rsi_14_30_50,oscillator-reversion,21,7,0.2382302904053016,-0.14691694200918365,0.5171646889847825,0.6640816309939661,0.7142857142857143,-0.0003338789576315948,18,False,
medium,stochastic,stoch_14_3,oscillator-reversion,21,7,-0.04337882564273385,-0.38827248660839286,0.7870267319838404,1.1752992185922333,0.47619047619047616,-0.13263383716830746,56,False,
medium,bb_reversion,bb_reversion_20_2,mean-reversion,21,7,-0.11393416248510864,-0.6312055886138834,0.27889336596424497,0.9100989545781284,0.42857142857142855,-0.19079422653504718,50,False,
medium,zscore,zscore_20_-2,mean-reversion,21,7,0.03626502465125298,-0.5389148573332941,0.424993171553525,0.9639080288868191,0.5238095238095238,-0.10027369490461724,50,False,
medium,vwap_reversion,vwap_reversion_20_0.02,mean-reversion,21,7,-0.26507829591536625,-0.3623809409686341,0.2248181142423193,0.5871990552109534,0.2857142857142857,-0.3837037208595435,152,False,
medium,grid,grid_50_4_0.05,mean-reversion,21,7,-0.15211290512723388,-0.3278043428518474,0.04132558866331898,0.3691299315151664,0.2857142857142857,-0.16712914208322327,599,False,
medium,obv_trend,obv_trend_20,volume-flow,21,7,0.18858232510559558,-0.474890476090869,1.0610573975463833,1.5359478736372523,0.6666666666666666,-0.09814695172443,220,False,
medium,voltarget,voltarget_100_20_0.6,risk-overlay,21,7,-0.021491765791798692,-0.536719281184786,0.6168103592864574,1.1535296404712434,0.38095238095238093,-0.1468985450380944,645,False,
long,buy_and_hold,buy_and_hold,baseline,28,8,0.53383105432224,-0.09497628957104505,1.3388722995466442,1.4338485891176893,0.6785714285714286,0.09389190960717592,16,False,
long,ma_crossover,ma_crossover_50_200,trend,21,7,0.28993439019525385,-0.3722985716570189,0.7901085811487919,1.1624071528058109,0.5238095238095238,0.0,16,False,
long,macd,macd_26_52_18,trend,21,7,0.5166178090401649,0.09174587377517571,1.2336209762470642,1.1418751024718885,0.7619047619047619,0.16067826121297402,50,False,
long,ts_momentum,ts_momentum_200,momentum,21,7,0.199616111874506,-0.8167104561062521,1.5242452490163056,2.340955705122558,0.5238095238095238,-0.1272351647879355,54,False,
long,sma_regime,sma_regime_200,regime-filter,21,7,0.2535652074541983,0.0,1.6200723618430983,1.6200723618430983,0.7142857142857143,-0.02172455369119175,44,False,
long,breakout,breakout_60_30,breakout,21,7,0.14042641075584708,-0.285070331254217,1.3906462612804558,1.6757165925346729,0.6190476190476191,-0.06588539148643247,18,False,
long,bb_breakout,bb_breakout_60_2,breakout,21,7,-0.34861383793007833,-0.6156308626532844,1.2894915584118973,1.9051224210651818,0.42857142857142855,-0.2707704135707414,32,False,
long,keltner,keltner_50_30_2,breakout,21,7,-0.15985634305479196,-0.7477542176909956,1.4550300607049125,2.202784278395908,0.38095238095238093,-0.17674402553251756,34,False,
long,rsi,rsi_30_35_55,oscillator-reversion,21,7,0.5934893158650294,0.0,0.8954075695815996,0.8954075695815996,0.7142857142857143,0.20815476220052176,10,False,
long,stochastic,stoch_40_5,oscillator-reversion,21,7,0.3157061457043147,-0.1379558559164463,0.6140345581921591,0.7519904141086055,0.5714285714285714,0.06341289732338362,34,False,
long,bb_reversion,bb_reversion_60_2,mean-reversion,21,7,0.1198036403097869,0.03090048199673458,0.25300581062648897,0.22210532862975438,0.7619047619047619,-0.059953330810469274,24,False,
